,program,start_time,start_dt_object,end_time,end_dt_object,play_time,artist,artist_url,track,album,album_url,label,label_url,type
0,loudQUIETloud,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,9:02pm,A Tribe Called Quest,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=4200#here,“We The People.... (Clean)”,We Got It From Here... Thank You 4 Your Service,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=317163#here,(Epic 2016),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=108#here,
0,loudQUIETloud,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,9:04pm,Kanye West,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=7166#here,“everything I Am”,Graduation,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=155730#here,(Roc-A-Fella 2010),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=34#here,
0,loudQUIETloud,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,9:07pm,Wanda Jackson,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=136#here,“Thunder on the Mountain”,the party ain't over,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=34090#here,(Nonesuch / Third Man Records 2011),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=12286#here,
0,Serious Journalism,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,Mon Jan 21 2019 1:00am,2019-01-21 01:00:00,10:59pm,"Dino, Desi & Billy",https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=29284#here,“Please Don't Fight It”,,,(Reprise 1965),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=7#here,
0,Serious Journalism,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,Mon Jan 21 2019 1:00am,2019-01-21 01:00:00,11:02pm,Elvis Presley,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=2166#here,“promised land”,7-inch,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=40838#here,(RCA 1960),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=317#here,
0,Serious Journalism,Mon Jan 21 2019 11:00pm,2019-01-21 23:00:00,Mon Jan 21 2019 1:00am,2019-01-21 01:00:00,11:05pm,The Raging Storms,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=5930#here,“Hound dog”,Hound Dog,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=8395#here,(warwick),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=3222#here,
0,Serious Journalism,Mon Jan 14 2019 11:00pm,2019-01-14 23:00:00,Mon Jan 14 2019 1:00am,2019-01-14 01:00:00,11:00pm,Iron Butterfly,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=3372#here,“In a Gadda da Vida”,"7""",https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445353#here,(ATCO),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=809#here,
0,Serious Journalism,Mon Jan 14 2019 11:00pm,2019-01-14 23:00:00,Mon Jan 14 2019 1:00am,2019-01-14 01:00:00,11:03pm,Dead Kennedys,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=355#here,“The Man With the Dogs”,45,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445356#here,(Alternative Tentacles),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=178#here,
0,Serious Journalism,Mon Jan 14 2019 11:00pm,2019-01-14 23:00:00,Mon Jan 14 2019 1:00am,2019-01-14 01:00:00,11:06pm,Sly & The Family Stone,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=5623#here,“fun”,45,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=154407#here,(Epic 1969),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=108#here,
0,C-Sides,Tue Jan 22 2019 1:00am,2019-01-22 01:00:00,Tue Jan 22 2019 3:00am,2019-01-22 03:00:00,1:01am,Gunesh (Гунеш),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=59489#here,“Baÿkonur (Байконур)”,Richard Shafi Presents Gunesh,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=147634#here,(Boheme 1999),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=22405#here,
